STANFORD UNIVERSITY,2
CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),4
UNIVERSITY OF OXFORD,5
UNIVERSITY OF CAMBRIDGE,6
ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),7
IMPERIAL COLLEGE LONDON,8
UNIVERSITY OF CHICAGO,9
UCL (UNIVERSITY COLLEGE LONDON),10
NATIONAL UNIVERSITY OF SINGAPORE (NUS),11
NANYANG TECHNOLOGICAL UNIVERSITY (NTU),12
PRINCETON UNIVERSITY,13
CORNELL UNIVERSITY,14
YALE UNIVERSITY,15
COLUMBIA UNIVERSITY,16
TSINGHUA UNIVERSITY,17
UNIVERSITY OF EDINBURGH,18
UNIVERSITY OF PENNSYLVANIA,19
UNIVERSITY OF MICHIGAN,20
JOHNS HOPKINS UNIVERSITY,21
THE UNIVERSITY OF TOKYO,23
AUSTRALIAN NATIONAL UNIVERSITY (ANU),24
UNIVERSITY OF HONG KONG (HKU),25
DUKE UNIVERSITY,26
"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",27
THE UNIVERSITY OF MANCHESTER,29
PEKING UNIVERSITY,30
KING'S COLLEGE LONDON (KCL),31
NORTHWESTERN UNIVERSITY,34
KYOTO UNIVERSITY,35
SEOUL NATIONAL UNIVERSITY (SNU),36
THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),37
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),38
THE UNIVERSITY OF MELBOURNE,39
KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,40
"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",41
THE UNIVERSITY OF SYDNEY,42
NEW YORK UNIVERSITY (NYU),43
FUDAN UNIVERSITY,44
CARNEGIE MELLON UNIVERSITY,46
THE UNIVERSITY OF QUEENSLAND (UQ),48
THE CHINESE UNIVERSITY OF HONG KONG (CUHK),49
PSL UNIVERSITY,50
UNIVERSITY OF BRISTOL,51
DELFT UNIVERSITY OF TECHNOLOGY,52
UNIVERSITY OF WISCONSIN-MADISON,53
THE UNIVERSITY OF WARWICK,54
CITY UNIVERSITY OF HONG KONG,55
BROWN UNIVERSITY,56
UNIVERSITY OF AMSTERDAM,57
TOKYO INSTITUTE OF TECHNOLOGY,58
MONASH UNIVERSITY,59
SHANGHAI JIAO TONG UNIVERSITY,60
TECHNISCHE UNIVERSITÄT MÜNCHEN,61
LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN,62
UNIVERSITY OF TEXAS AT AUSTIN,63
RUPRECHT-KARLS-UNIVERSITÄT HEIDELBERG,64
ECOLE POLYTECHNIQUE,65
UNIVERSITY OF WASHINGTON,66
OSAKA UNIVERSITY,67
ZHEJIANG UNIVERSITY,68
GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),69
UNIVERSITY OF GLASGOW,70
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,71
NATIONAL TAIWAN UNIVERSITY (NTU),72
UNIVERSIDAD DE BUENOS AIRES,73
DURHAM UNIVERSITY,74
SORBONNE UNIVERSITY,75
THE UNIVERSITY OF SHEFFIELD,76
TOHOKU UNIVERSITY,77
UNIVERSITY OF ZURICH,78
UNIVERSITY OF BIRMINGHAM,79
UNIVERSITY OF COPENHAGEN,80
KATHOLIEKE UNIVERSITEIT LEUVEN,81
THE UNIVERSITY OF NOTTINGHAM,82
POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),83
"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",84
THE UNIVERSITY OF AUCKLAND,85
KOREA UNIVERSITY,86
RICE UNIVERSITY,87
UNIVERSITI MALAYA (UM),88
OHIO STATE UNIVERSITY,89
LOMONOSOV MOSCOW STATE UNIVERSITY,90
THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),91
BOSTON UNIVERSITY,93
UNIVERSITY OF LEEDS,94
PENNSYLVANIA STATE UNIVERSITY,95
UNIVERSITY OF SOUTHAMPTON,96
UNIVERSITY OF ST ANDREWS,97
UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,98
PURDUE UNIVERSITY,100
SUNGKYUNKWAN UNIVERSITY,101
"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)",102
WASHINGTON UNIVERSITY IN ST. LOUIS,103
TRINITY COLLEGE DUBLIN (TCD),105
THE HONG KONG POLYTECHNIC UNIVERSITY,106
YONSEI UNIVERSITY,107
UNIVERSITY OF GENEVA,108
UNIVERSITY OF HELSINKI,110
NAGOYA UNIVERSITY,111
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM),113
THE UNIVERSITY OF ADELAIDE,114
"KIT, KARLSRUHER INSTITUT FÜR TECHNOLOGIE",116
UPPSALA UNIVERSITY,117
UNIVERSIDADE DE SÃO PAULO (USP),118
UNIVERSITY OF GRONINGEN,120
HUMBOLDT-UNIVERSITÄT ZU BERLIN,121
LEIDEN UNIVERSITY,122
NANJING UNIVERSITY,123
UTRECHT UNIVERSITY,124
WAGENINGEN UNIVERSITY,125
KYUSHU UNIVERSITY,126
CHALMERS UNIVERSITY OF TECHNOLOGY,128
HOKKAIDO UNIVERSITY,129
FREIE UNIVERSITÄT BERLIN,130
LANCASTER UNIVERSITY,131
PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,132
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA (UCSB)",133
UNIVERSITY OF OSLO,135
UNIVERSITY OF PITTSBURGH,136
CENTRALESUPÉLEC,137
UNIVERSITY OF GHENT,138
UNIVERSITY OF BERN,139
AALTO UNIVERSITY,140
AARHUS UNIVERSITY,141
MICHIGAN STATE UNIVERSITY,142
NEWCASTLE UNIVERSITY,143
CARDIFF UNIVERSITY,145
MCMASTER UNIVERSITY,146
TECHNISCHE UNIVERSITÄT BERLIN,147
EMORY UNIVERSITY,148
UNIVERSITY OF LAUSANNE,150
HANYANG UNIVERSITY,151
UNIVERSITY OF LIVERPOOL,152
ÉCOLE NORMALE SUPÉRIEURE DE LYON,153
HEBREW UNIVERSITY OF JERUSALEM,154
UNIVERSITY OF EXETER,155
UNIVERSITY OF MINNESOTA,157
UNIVERSITY OF BATH,158
UNIVERSIDAD AUTÓNOMA DE MADRID,159
UNIVERSITY OF BASEL,160
UNIVERSITY OF TECHNOLOGY SYDNEY (UTS),161
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),162
NATIONAL TSING HUA UNIVERSITY,163
UNIVERSITÉ CATHOLIQUE DE LOUVAIN (UCL),165
SCUOLA SUPERIORE SANT'ANNA PISA,167
EBERHARD KARLS UNIVERSITÄT TÜBINGEN,168
INDIAN INSTITUTE OF SCIENCE (IISC) BANGALORE,170
UNIVERSITY OF BERGEN,171
INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),172
UNIVERSITY OF ABERDEEN,173
UNIVERSITY OF TWENTE,174
SCUOLA NORMALE SUPERIORE DI PISA,175
UNIVERSITÄT WIEN,176
UNIVERSITY OF OTAGO,177
TECNOLÓGICO DE MONTERREY (ITESM),178
ERASMUS UNIVERSITY ROTTERDAM,179
QUEEN'S UNIVERSITY OF BELFAST,180
UNIVERSITY OF FLORIDA,182
DARTMOUTH COLLEGE,183
UNIVERSITI KEBANGSAAN MALAYSIA (UKM),184
UNIVERSITY OF ROCHESTER,185
CASE WESTERN RESERVE UNIVERSITY,186
UNIVERSITÄT FREIBURG,187
VRIJE UNIVERSITEIT BRUSSEL (VUB),188
KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM),189
UNIVERSITY OF COLORADO AT BOULDER,190
TECHNISCHE UNIVERSITÄT DRESDEN,191
UNIVERSITY OF VIRGINIA,192
UNIVERSITAT AUTÓNOMA DE BARCELONA,193
UNIVERSITY COLLEGE DUBLIN (UCD),194
UNIVERSITY OF READING,195
VANDERBILT UNIVERSITY,196
GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN,197
KEIO UNIVERSITY,198
TECHNISCHE UNIVERSITÄT WIEN,199
UNIVERSITY OF CAPE TOWN,201
UNIVERSITI PUTRA MALAYSIA (UPM),202
TEXAS A&M UNIVERSITY,203
RADBOUD UNIVERSITY NIJMEGEN,204
UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP),205
UNIVERSIDAD COMPLUTENSE DE MADRID (UCM),206
UNIVERSITI SAINS MALAYSIA (USM),207
NATIONAL CHIAO TUNG UNIVERSITY,208
UNIVERSIDAD DE CHILE,209
WASEDA UNIVERSITY,210
MAASTRICHT UNIVERSITY,211
ARIZONA STATE UNIVERSITY,212
UNIVERSITY OF NOTRE DAME,213
"UNIVERSITY OF ILLINOIS, CHICAGO (UIC)",214
UNIVERSITY OF NEWCASTLE,215
WESTERN UNIVERSITY,216
SAPIENZA - UNIVERSITÀ DI ROMA,217
LOUGHBOROUGH UNIVERSITY,218
UNIVERSITY OF WOLLONGONG,219
AL-FARABI KAZAKH NATIONAL UNIVERSITY,220
SCIENCES PO PARIS,221
VICTORIA UNIVERSITY OF WELLINGTON,222
UNIVERSITÄT HAMBURG,223
UNIVERSITY OF ANTWERP,224
UNIVERSITY OF LEICESTER,225
GEORGETOWN UNIVERSITY,226
UNIVERSITY OF SUSSEX,227
UNIVERSITI TEKNOLOGI MALAYSIA (UTM),228
TEL AVIV UNIVERSITY,230
KING ABDUL AZIZ UNIVERSITY (KAU),231
UNIVERSITY OF CANTERBURY,232
VRIJE UNIVERSITEIT AMSTERDAM,233
NATIONAL CHENG KUNG UNIVERSITY,234
SAINT-PETERSBURG STATE UNIVERSITY,235
ROYAL HOLLOWAY UNIVERSITY OF LONDON,236
AMERICAN UNIVERSITY OF BEIRUT (AUB),237
TUFTS UNIVERSITY,238
QUEEN'S UNIVERSITY,239
UNIVERSITÉ LIBRE DE BRUXELLES (ULB),240
UNIVERSITÉ PARIS-SUD 11,241
UNIVERSIDAD DE NAVARRA,242
UNIVERSITY OF MIAMI,243
NOVOSIBIRSK STATE UNIVERSITY,244
UNIVERSITY OF ARIZONA,246
TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,247
UNIVERSITY OF SURREY,248
CURTIN UNIVERSITY,250
MACQUARIE UNIVERSITY,251
RMIT UNIVERSITY,252
TECHNISCHE UNIVERSITÄT DARMSTADT,253
UNIVERSIDAD CARLOS III DE MADRID,254
RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITÄT BONN,255
KING SAUD UNIVERSITY (KSU),256
NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,257
WUHAN UNIVERSITY,258
"UNIVERSITY OF MASSACHUSETTS, AMHERST",259
"NATIONAL UNIVERSITY OF IRELAND, GALWAY (NUIG)",260
UNIVERSITÄT STUTTGART,261
UNIVERSITY OF TSUKUBA,262
